INPUT_TABLE
Variable ID
Indiacoolingelec_logit

region,supplysector,subsector0,subsector1,subsector,stub.technology,logit.year.fillout,logit.exponent,logit.type
India,electricity,MahiR,coal,coal (conv pul),coal (conv pul) (dry cooling),1975,-10,relative.cost.logit
India,electricity,MahiR,coal,coal (IGCC),coal (IGCC) (once through),1975,-10,relative.cost.logit
India,electricity,MahiR,coal,coal (IGCC),coal (IGCC) (seawater),1975,-10,relative.cost.logit
India,electricity,MahiR,coal,coal (IGCC),coal (IGCC) (recirculating),1975,-10,relative.cost.logit
India,electricity,MahiR,coal,coal (IGCC),coal (IGCC) (dry cooling),1975,-10,relative.cost.logit
India,electricity,MahiR,coal,coal (conv pul CCS),coal (conv pul CCS) (once through),1975,-10,relative.cost.logit
India,electricity,MahiR,coal,coal (conv pul CCS),coal (conv pul CCS) (seawater),1975,-10,relative.cost.logit
India,electricity,MahiR,coal,coal (conv pul CCS),coal (conv pul CCS) (recirculating),1975,-10,relative.cost.logit
India,electricity,MahiR,coal,coal (conv pul CCS),coal (conv pul CCS) (dry cooling),1975,-10,relative.cost.logit
India,electricity,MahiR,coal,coal (IGCC CCS),coal (IGCC CCS) (once through),1975,-10,relative.cost.logit
India,electricity,MahiR,coal,coal (IGCC CCS),coal (IGCC CCS) (seawater),1975,-10,relative.cost.logit
India,electricity,MahiR,coal,coal (IGCC CCS),coal (IGCC CCS) (recirculating),1975,-10,relative.cost.logit
India,electricity,MahiR,coal,coal (IGCC CCS),coal (IGCC CCS) (dry cooling),1975,-10,relative.cost.logit
India,electricity,BengalBay,coal,coal (conv pul),coal (conv pul) (once through),1975,-10,relative.cost.logit
India,electricity,BengalBay,coal,coal (conv pul),coal (conv pul) (seawater),1975,-10,relative.cost.logit
India,electricity,BengalBay,coal,coal (conv pul),coal (conv pul) (recirculating),1975,-10,relative.cost.logit
India,electricity,BengalBay,coal,coal (conv pul),coal (conv pul) (cooling pond),1975,-10,relative.cost.logit
India,electricity,BengalBay,coal,coal (conv pul),coal (conv pul) (dry cooling),1975,-10,relative.cost.logit
India,electricity,BengalBay,coal,coal (IGCC),coal (IGCC) (once through),1975,-10,relative.cost.logit
India,electricity,BengalBay,coal,coal (IGCC),coal (IGCC) (seawater),1975,-10,relative.cost.logit
India,electricity,BengalBay,coal,coal (IGCC),coal (IGCC) (recirculating),1975,-10,relative.cost.logit
India,electricity,BengalBay,coal,coal (IGCC),coal (IGCC) (dry cooling),1975,-10,relative.cost.logit
India,electricity,BengalBay,coal,coal (conv pul CCS),coal (conv pul CCS) (once through),1975,-10,relative.cost.logit
India,electricity,BengalBay,coal,coal (conv pul CCS),coal (conv pul CCS) (seawater),1975,-10,relative.cost.logit
India,electricity,BengalBay,coal,coal (conv pul CCS),coal (conv pul CCS) (recirculating),1975,-10,relative.cost.logit
India,electricity,BengalBay,coal,coal (conv pul CCS),coal (conv pul CCS) (dry cooling),1975,-10,relative.cost.logit
India,electricity,BengalBay,coal,coal (IGCC CCS),coal (IGCC CCS) (once through),1975,-10,relative.cost.logit
India,electricity,BengalBay,coal,coal (IGCC CCS),coal (IGCC CCS) (seawater),1975,-10,relative.cost.logit
India,electricity,BengalBay,coal,coal (IGCC CCS),coal (IGCC CCS) (recirculating),1975,-10,relative.cost.logit
India,electricity,BengalBay,coal,coal (IGCC CCS),coal (IGCC CCS) (dry cooling),1975,-10,relative.cost.logit
India,electricity,TaptiR,coal,coal (conv pul),coal (conv pul) (once through),1975,-10,relative.cost.logit
India,electricity,TaptiR,coal,coal (conv pul),coal (conv pul) (seawater),1975,-10,relative.cost.logit
India,electricity,TaptiR,coal,coal (conv pul),coal (conv pul) (recirculating),1975,-10,relative.cost.logit
India,electricity,TaptiR,coal,coal (conv pul),coal (conv pul) (cooling pond),1975,-10,relative.cost.logit
India,electricity,TaptiR,coal,coal (conv pul),coal (conv pul) (dry cooling),1975,-10,relative.cost.logit
India,electricity,TaptiR,coal,coal (IGCC),coal (IGCC) (once through),1975,-10,relative.cost.logit
India,electricity,TaptiR,coal,coal (IGCC),coal (IGCC) (seawater),1975,-10,relative.cost.logit
India,electricity,TaptiR,coal,coal (IGCC),coal (IGCC) (recirculating),1975,-10,relative.cost.logit
India,electricity,TaptiR,coal,coal (IGCC),coal (IGCC) (dry cooling),1975,-10,relative.cost.logit
India,electricity,TaptiR,coal,coal (conv pul CCS),coal (conv pul CCS) (once through),1975,-10,relative.cost.logit
India,electricity,TaptiR,coal,coal (conv pul CCS),coal (conv pul CCS) (seawater),1975,-10,relative.cost.logit
India,electricity,TaptiR,coal,coal (conv pul CCS),coal (conv pul CCS) (recirculating),1975,-10,relative.cost.logit
India,electricity,TaptiR,coal,coal (conv pul CCS),coal (conv pul CCS) (dry cooling),1975,-10,relative.cost.logit
India,electricity,TaptiR,coal,coal (IGCC CCS),coal (IGCC CCS) (once through),1975,-10,relative.cost.logit
India,electricity,TaptiR,coal,coal (IGCC CCS),coal (IGCC CCS) (seawater),1975,-10,relative.cost.logit
India,electricity,TaptiR,coal,coal (IGCC CCS),coal (IGCC CCS) (recirculating),1975,-10,relative.cost.logit
India,electricity,TaptiR,coal,coal (IGCC CCS),coal (IGCC CCS) (dry cooling),1975,-10,relative.cost.logit
India,electricity,BengalW,coal,coal (conv pul),coal (conv pul) (once through),1975,-10,relative.cost.logit
India,electricity,BengalW,coal,coal (conv pul),coal (conv pul) (seawater),1975,-10,relative.cost.logit
India,electricity,BengalW,coal,coal (conv pul),coal (conv pul) (recirculating),1975,-10,relative.cost.logit
India,electricity,BengalW,coal,coal (conv pul),coal (conv pul) (cooling pond),1975,-10,relative.cost.logit
India,electricity,BengalW,coal,coal (conv pul),coal (conv pul) (dry cooling),1975,-10,relative.cost.logit
India,electricity,BengalW,coal,coal (IGCC),coal (IGCC) (once through),1975,-10,relative.cost.logit
India,electricity,BengalW,coal,coal (IGCC),coal (IGCC) (seawater),1975,-10,relative.cost.logit
India,electricity,BengalW,coal,coal (IGCC),coal (IGCC) (recirculating),1975,-10,relative.cost.logit
India,electricity,BengalW,coal,coal (IGCC),coal (IGCC) (dry cooling),1975,-10,relative.cost.logit
India,electricity,BengalW,coal,coal (conv pul CCS),coal (conv pul CCS) (once through),1975,-10,relative.cost.logit
India,electricity,BengalW,coal,coal (conv pul CCS),coal (conv pul CCS) (seawater),1975,-10,relative.cost.logit
India,electricity,BengalW,coal,coal (conv pul CCS),coal (conv pul CCS) (recirculating),1975,-10,relative.cost.logit
India,electricity,BengalW,coal,coal (conv pul CCS),coal (conv pul CCS) (dry cooling),1975,-10,relative.cost.logit
